new_id,ID2,Glottocode,Form,consonant,vowel,C description,V description
87,nogai,noga1249,ana,,,,
88,ariamoukaria,mouk1240,ide,,,,
91,gunya,guny1241,yanganu,,,,
92,cupeno,cupe1243,ye,,,,
93,itonama,iton1250,a-noʔka,,,,
96,hindi,hind1269,mataji,,,,
97,westcoastbajau,west2560,iyang,,,,
99,mo,winn1245,nä-neʼ-kä,,,,
101,luiseno,luis1253,yó,,,,
108,mo,ponc1241,näʼ-hä,,,,
109,wulguru,wulg1239,kami,,,,
110,rotokas,roto1249,aako,,,,
111,arabana,arab1267,st̪aɭuka,,,,
114,mo,burm1266,a-ma,,,,
115,oriya,oriy1255,mā,,,,
117,balangao,bala1310,ina,,,,
118,tonganyasa,tong1321,bamaama,,,,
119,mo,spok1245,e-skoʼ-i,,,,
